Ilość epok: 300,
Beta: 1.5
Eta: 0.1
Normalizacja: 1
Wagi losowane z zakresu (-0.05, 0.05)
Epoka 0 | Średni błąd = 0.2536783727111512
Epoka 100 | Średni błąd = 0.101739579221251
Epoka 200 | Średni błąd = 0.10075493301851582
Epoka 299 | Średni błąd = 0.10023853799857967

 KOŃCOWE WAGI I BIASY PO TRENINGU
W1_1=12.411882, W1_2=0.135636, W2_1=-5.138792, W2_2=-0.940379
B1=0.670525, B2=0.220369
W3_1=-3.019705, W3_2=2.273423, W4_1=3.019705, W4_2=-2.273423
B3=0.515880, B4=-0.515880

TEST PO TRENINGU
Wejście: -0.131, -0.437 -> Wyjście: [0.950, 0.050] | Oczekiwane: [1, 0]| OK
Wejście: -0.125, -0.286 -> Wyjście: [0.940, 0.060] | Oczekiwane: [0, 1]| BŁĄD
Wejście: -0.027, -0.095 -> Wyjście: [0.558, 0.442] | Oczekiwane: [0, 1]| BŁĄD
Wejście: -0.231, 0.199 -> Wyjście: [0.972, 0.028] | Oczekiwane: [1, 0]| OK
Wejście: 0.137, 0.205 -> Wyjście: [0.062, 0.938] | Oczekiwane: [0, 1]| OK
Wejście: 0.064, 2.432 -> Wyjście: [0.033, 0.967] | Oczekiwane: [0, 1]| OK
Wejście: 0.189, -1.643 -> Wyjście: [0.255, 0.745] | Oczekiwane: [0, 1]| OK
Wejście: -0.194, 0.679 -> Wyjście: [0.944, 0.056] | Oczekiwane: [1, 0]| OK
Wejście: 0.149, -0.465 -> Wyjście: [0.111, 0.889] | Oczekiwane: [0, 1]| OK
Wejście: 0.096, -0.664 -> Wyjście: [0.212, 0.788] | Oczekiwane: [0, 1]| OK
Wejście: -0.103, 0.533 -> Wyjście: [0.801, 0.199] | Oczekiwane: [0, 1]| BŁĄD
Wejście: 0.126, 1.320 -> Wyjście: [0.033, 0.967] | Oczekiwane: [0, 1]| OK
Wejście: -0.209, -0.353 -> Wyjście: [0.976, 0.024] | Oczekiwane: [1, 0]| OK
Wejście: -0.081, -1.003 -> Wyjście: [0.917, 0.083] | Oczekiwane: [1, 0]| OK
Wejście: -0.143, -0.235 -> Wyjście: [0.952, 0.048] | Oczekiwane: [1, 0]| OK
Wejście: -0.085, -1.104 -> Wyjście: [0.926, 0.074] | Oczekiwane: [1, 0]| OK
Wejście: -0.110, -1.109 -> Wyjście: [0.952, 0.048] | Oczekiwane: [1, 0]| OK
Wejście: -0.021, -0.770 -> Wyjście: [0.697, 0.303] | Oczekiwane: [1, 0]| OK
Wejście: 0.080, 0.787 -> Wyjście: [0.058, 0.942] | Oczekiwane: [0, 1]| OK
Wejście: -0.256, -0.519 -> Wyjście: [0.981, 0.019] | Oczekiwane: [1, 0]| OK
Wejście: -0.225, 1.235 -> Wyjście: [0.926, 0.074] | Oczekiwane: [1, 0]| OK
Wejście: 0.079, -0.536 -> Wyjście: [0.219, 0.781] | Oczekiwane: [1, 0]| BŁĄD
Wejście: -0.174, -0.267 -> Wyjście: [0.967, 0.033] | Oczekiwane: [1, 0]| OK
Wejście: -0.017, 1.190 -> Wyjście: [0.156, 0.844] | Oczekiwane: [0, 1]| OK
Wejście: -0.191, -0.664 -> Wyjście: [0.976, 0.024] | Oczekiwane: [1, 0]| OK
Wejście: 0.081, -0.576 -> Wyjście: [0.225, 0.775] | Oczekiwane: [0, 1]| OK
Wejście: -0.069, 0.923 -> Wyjście: [0.488, 0.512] | Oczekiwane: [0, 1]| OK
Wejście: -0.046, 1.512 -> Wyjście: [0.205, 0.795] | Oczekiwane: [0, 1]| OK
Wejście: 0.082, -0.132 -> Wyjście: [0.141, 0.859] | Oczekiwane: [0, 1]| OK
Wejście: -0.277, 0.474 -> Wyjście: [0.974, 0.026] | Oczekiwane: [1, 0]| OK
Wejście: -0.014, -0.018 -> Wyjście: [0.450, 0.550] | Oczekiwane: [0, 1]| OK
Wejście: -0.031, -0.686 -> Wyjście: [0.728, 0.272] | Oczekiwane: [1, 0]| OK
Wejście: -0.195, -1.189 -> Wyjście: [0.979, 0.021] | Oczekiwane: [1, 0]| OK
Wejście: 0.059, -0.644 -> Wyjście: [0.296, 0.704] | Oczekiwane: [0, 1]| OK
Wejście: -0.222, 0.985 -> Wyjście: [0.942, 0.058] | Oczekiwane: [1, 0]| OK
Wejście: -0.112, 1.100 -> Wyjście: [0.694, 0.306] | Oczekiwane: [0, 1]| BŁĄD
Wejście: -0.136, 0.517 -> Wyjście: [0.894, 0.106] | Oczekiwane: [1, 0]| OK
Wejście: 0.043, 1.355 -> Wyjście: [0.057, 0.943] | Oczekiwane: [0, 1]| OK
Wejście: 0.166, 0.689 -> Wyjście: [0.037, 0.963] | Oczekiwane: [0, 1]| OK
Wejście: 0.057, 0.318 -> Wyjście: [0.116, 0.884] | Oczekiwane: [0, 1]| OK
Wejście: -0.168, -0.528 -> Wyjście: [0.969, 0.031] | Oczekiwane: [1, 0]| OK
Wejście: 0.091, 1.557 -> Wyjście: [0.035, 0.965] | Oczekiwane: [0, 1]| OK
Wejście: -0.011, 2.278 -> Wyjście: [0.071, 0.929] | Oczekiwane: [0, 1]| OK
Wejście: -0.059, -1.320 -> Wyjście: [0.891, 0.109] | Oczekiwane: [1, 0]| OK
Wejście: 0.041, -1.318 -> Wyjście: [0.505, 0.495] | Oczekiwane: [0, 1]| BŁĄD
Wejście: -0.068, 0.787 -> Wyjście: [0.529, 0.471] | Oczekiwane: [0, 1]| BŁĄD
Wejście: -0.079, 1.105 -> Wyjście: [0.491, 0.509] | Oczekiwane: [1, 0]| BŁĄD
Wejście: 0.183, 0.722 -> Wyjście: [0.034, 0.966] | Oczekiwane: [0, 1]| OK

MACIERZ POMYŁEK (confusion matrix)
           Pred 0   Pred 1
True 0        136      14
True 1         29     121

PODSUMOWANIE
Poprawne: 257
Błędne:   43
